Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Swing,1,4,Streetlamp,7,3,28,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)"
Swing,1,4,Water cooler,9,2,31,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)"
Swing,1,4,Desk,7,0,35,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)"
Swing,1,4,TV,1,1,42,"(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)"
Phonebooth,0,6,Clock,3,3,43,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)"
Phonebooth,0,6,Swing,1,4,46,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)"
Phonebooth,0,6,Couch,1,10,6,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)"
Phonebooth,0,6,Statue,6,10,11,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)"
Phonebooth,0,6,Bicycle,8,8,15,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)"
Phonebooth,0,6,Fridge,7,6,18,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)"
Phonebooth,0,6,Stepladder,5,5,21,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)"
Phonebooth,0,6,Streetlamp,7,3,25,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)"
Phonebooth,0,6,Water cooler,9,2,28,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)"
Phonebooth,0,6,Desk,7,0,32,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)"
Phonebooth,0,6,TV,1,1,39,"(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)"
Couch,1,10,Clock,3,3,38,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)"
Couch,1,10,Swing,1,4,41,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)"
Couch,1,10,Phonebooth,0,6,44,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)"
Couch,1,10,Statue,6,10,6,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)"
Couch,1,10,Bicycle,8,8,10,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)"
Couch,1,10,Fridge,7,6,13,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)"
Couch,1,10,Stepladder,5,5,16,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)"
Couch,1,10,Streetlamp,7,3,20,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)"
Couch,1,10,Water cooler,9,2,23,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)"
Couch,1,10,Desk,7,0,27,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)"
Couch,1,10,TV,1,1,34,"(1, 10)->(2, 10)->(3, 10)->(4, 10)->(5, 10)->(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)"
Statue,6,10,Clock,3,3,33,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)"
Statue,6,10,Swing,1,4,36,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)"
Statue,6,10,Phonebooth,0,6,39,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)"
Statue,6,10,Couch,1,10,44,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)->(6, 0)->(5, 0)->(4, 0)->(3, 0)->(2, 0)->(1, 0)->(1, 1)->(1, 2)->(2, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(0, 4)->(0, 5)->(0, 6)->(0, 7)->(0, 8)->(0, 9)->(0, 10)->(1, 10)"
Statue,6,10,Bicycle,8,8,5,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)"
Statue,6,10,Fridge,7,6,8,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)"
Statue,6,10,Stepladder,5,5,11,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)"
Statue,6,10,Streetlamp,7,3,15,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)"
Statue,6,10,Water cooler,9,2,18,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)"
Statue,6,10,Desk,7,0,22,"(6, 10)->(7, 10)->(8, 10)->(8, 9)->(8, 8)->(8, 7)->(8, 6)->(7, 6)->(6, 6)->(5, 6)->(5, 5)->(5, 4)->(5, 3)->(6, 3)->(7, 3)->(8, 3)->(9, 3)->(9, 2)->(9, 1)->(9, 0)->(8, 0)->(7, 0)"
