SubjectName,TrialNumber,TrialName,FrechetLearn,FrechetLearnReversed,FrechetShortcut,FrechetTopo,LearnDistance,ShortcutDistance,Failure
AB04KO,1,dsp1_22,6.708203932499369,5.0,1.0,1.0,30,8.0,1
AB04KO,2,dsp1_18,4.123105625617661,7.211102550927978,4.47213595499958,4.123105625617661,13,7.0,0
AB04KO,3,dsp1_24,3.0,8.48528137423857,4.123105625617661,4.123105625617661,17,9.0,0
AB04KO,4,dsp1_08,6.324555320336759,4.0,4.47213595499958,4.47213595499958,28,8.0,0
AB04KO,5,dsp1_23,4.0,7.211102550927978,6.082762530298219,6.082762530298219,20,8.0,0
AB04KO,6,dsp1_13,5.656854249492381,5.0,1.0,4.0,28,16.0,0
AB04KO,7,dsp1_04,8.06225774829855,8.06225774829855,8.246211251235321,8.06225774829855,31,11.0,1
AB04KO,8,dsp1_17,6.708203932499369,4.0,3.1622776601683795,3.1622776601683795,33,9.0,0
AB04KO,9,dsp1_21,11.313708498984761,12.041594578792296,11.313708498984761,12.041594578792296,15,9.0,1
AB04KO,10,dsp1_09,7.211102550927978,4.0,6.082762530298219,6.082762530298219,31,11.0,0
AB04KO,11,dsp1_10,2.0,7.810249675906654,1.0,3.605551275463989,14,10.0,0
AB04KO,12,dsp1_05,5.0,4.242640687119285,3.1622776601683795,3.605551275463989,29,13.0,0
AB04KO,13,dsp1_07,2.0,7.810249675906654,3.605551275463989,5.656854249492381,21,13.0,0
AB04KO,14,dsp1_06,7.211102550927978,4.0,0.0,5.0,36,10.0,0
AB04KO,15,dsp1_16,3.605551275463989,6.4031242374328485,0.0,3.605551275463989,14,10.0,0
AB04KO,16,dsp1_19,6.708203932499369,4.0,0.0,1.0,27,7.0,0
AB04KO,17,dsp1_02,5.0,4.123105625617661,4.123105625617661,4.123105625617661,20,10.0,0
AB04KO,18,dsp1_11,4.0,7.0710678118654755,3.605551275463989,3.605551275463989,22,4.0,0
AB04KO,19,dsp1_14,7.615773105863909,5.0,7.0710678118654755,5.830951894845301,14,10.0,1
AB04KO,20,dsp1_03,4.0,5.0990195135927845,5.0,5.0990195135927845,27,15.0,0
ab25fa,1,dsp1_22,7.0710678118654755,4.0,2.8284271247461903,2.8284271247461903,30,8.0,0
ab25fa,2,dsp1_09,8.94427190999916,0.0,6.082762530298219,6.4031242374328485,31,11.0,0
ab25fa,3,dsp1_03,8.246211251235321,4.0,4.0,4.0,27,15.0,0
ab25fa,4,dsp1_23,4.123105625617661,7.0,3.1622776601683795,3.605551275463989,20,8.0,0
ab25fa,5,dsp1_08,6.4031242374328485,4.242640687119285,3.0,3.605551275463989,28,8.0,0
ab25fa,6,dsp1_11,4.0,6.708203932499369,2.23606797749979,2.23606797749979,22,4.0,0
ab25fa,7,dsp1_10,2.0,7.810249675906654,0.0,3.605551275463989,14,10.0,0
ab25fa,8,dsp1_21,4.0,6.4031242374328485,0.0,5.0,15,9.0,0
ab25fa,9,dsp1_19,6.708203932499369,4.0,0.0,1.0,27,7.0,0
ab25fa,10,dsp1_24,0.0,8.48528137423857,4.123105625617661,6.4031242374328485,17,9.0,0
ab25fa,11,dsp1_04,8.246211251235321,4.0,0.0,2.0,31,11.0,0
ab25fa,12,dsp1_07,7.0,4.0,3.0,3.605551275463989,21,13.0,0
ab25fa,13,dsp1_18,4.0,8.246211251235321,0.0,4.0,13,7.0,0
ab25fa,14,dsp1_17,6.708203932499369,4.0,0.0,1.0,33,9.0,0
