Subject,Trial,Estimation Error
AB04KO,3,11.331299999999999
AB04KO,4,6.27879999999999
AB04KO,5,27.20580000000001
AB04KO,6,153.11246
AB04KO,7,78.05845
AB04KO,8,101.97802000000001
AB04KO,9,3.3969999999999914
AB04KO,10,54.741309999999984
AB04KO,11,24.591999999999985
AB04KO,12,109.78531
AB04KO,13,170.47560000000001
AB04KO,14,17.673400000000015
AB04KO,15,99.81198
AB04KO,16,42.429100000000034
AB04KO,17,58.61189999999999
AB04KO,18,26.15469999999999
AB04KO,19,114.62413
AB04KO,20,89.75238999999999
AB04KO,21,55.82401999999996
AB04KO,22,72.5738
ab25fa,3,77.0624
ab25fa,4,8.502469999999995
ab25fa,5,4.458580000000012
ab25fa,6,6.455699999999979
ab25fa,7,4.8688000000000216
ab25fa,8,24.828100000000006
ab25fa,9,29.15831
ab25fa,10,6.123400000000004
ab25fa,11,51.035499999999985
ab25fa,12,1.1920199999999994
ab25fa,13,0.928799999999967
ab25fa,14,18.561999999999983
ab25fa,15,3.023899999999969
ab25fa,16,2.0207999999999515
ab25fa,17,11.7029
ab25fa,18,19.2046
ab25fa,19,81.47586999999999
ab25fa,20,17.773887000000002
ab25fa,21,17.63798
ab25fa,22,12.824299999999994
AL07ME,3,23.6207
AL07ME,4,63.71260000000001
AL07ME,5,38.44200000000001
AL07ME,6,38.35835
AL07ME,7,23.547153999999978
AL07ME,8,54.65459999999999
AL07ME,9,59.92597000000001
AL07ME,10,8.958450000000013
AL07ME,11,11.678799999999967
AL07ME,12,3.5741999999999905
AL07ME,13,70.76198
AL07ME,14,23.114499999999992
AL07ME,15,13.868899999999996
AL07ME,16,16.47199999999998
AL07ME,17,8.805799999999977
AL07ME,18,20.87390499999998
AL07ME,19,1.6739000000000033
AL07ME,20,11.25242
AL07ME,21,21.738
AL07ME,22,20.32340000000002
AL15MA,3,63.39120999999999
AL15MA,4,70.76239999999999
AL15MA,5,132.92815000000002
AL15MA,6,0.5942999999999756
AL15MA,7,111.6029
AL15MA,8,53.781000000000006
AL15MA,9,100.61188000000001
AL15MA,10,50.02392999999995
AL15MA,11,74.12597
AL15MA,12,34.941899999999976
AL15MA,13,100.92659999999998
AL15MA,14,8.675700000000006
AL15MA,15,58.162099999999995
AL15MA,16,139.72930000000002
AL15MA,17,13.32869999999997
AL15MA,18,47.35242
AL15MA,19,96.64175
AL15MA,20,53.45469999999999
AL15MA,21,27.526099999999985
AL15MA,22,162.83544
AN15PO,3,9.542069999999999
AN15PO,4,93.07804000000002
AN15PO,5,31.587999999999994
AN15PO,6,49.323980000000006
AN15PO,7,80.7856
AN15PO,8,0.2707999999999515
AN15PO,9,14.631199999999978
AN15PO,10,94.62586999999996
AN15PO,11,45.173400000000015
AN15PO,12,2.8415099999999995
AN15PO,13,64.30835000000002
AN15PO,14,22.952349999999996
AN15PO,15,162.72420000000002
AN15PO,16,3.0056999999999903
AN15PO,17,6.48769999999999
AN15PO,18,12.978799999999978
AN15PO,19,60.86197999999999
AN15PO,20,9.802900000000022
AN15PO,21,19.854600000000005
AN15PO,22,12.076099999999997
AU23KI,3,4.076699999999988
AU23KI,4,3.678699999999992
AU23KI,5,53.508498
AU23KI,6,145.12606999999997
AU23KI,7,10.981200000000001
AU23KI,8,97.09530000000001
AU23KI,9,5.73769999999999
AU23KI,10,62.823890000000006
AU23KI,11,15.72610000000003
AU23KI,12,43.31188
AU23KI,13,27.238
AU23KI,14,8.971899999999977
AU23KI,15,2.879100000000051
AU23KI,16,0.2056999999999789
AU23KI,17,65.44715000000002
AU23KI,18,61.25249
AU23KI,19,41.16460000000001
AU23KI,20,2.5585800000000063
AU23KI,21,46.458020000000005
AU23KI,22,17.525599999999997
AU24FR,3,42.991309999999984
AU24FR,4,62.102380000000004
AU24FR,5,6.455800000000011
AU24FR,6,3.3711999999999875
AU24FR,7,111.27806000000001
AU24FR,8,46.57389999999998
AU24FR,9,70.87389999999999
AU24FR,10,3.8811999999999784
AU24FR,11,169.98752000000002
AU24FR,12,43.68809999999999
AU24FR,13,63.75845000000004
AU24FR,14,76.47330000000002
AU24FR,15,57.379200000000026
AU24FR,16,6.0545999999999935
AU24FR,17,97.33539999999999
AU24FR,18,33.87559999999999
AU24FR,19,47.06208000000001
AU24FR,20,97.82403000000001
AU24FR,21,7.758010000000002
AU24FR,22,3.502900000000011
AV16ME,3,25.81869999999998
AV16ME,4,75.82398
AV16ME,5,67.52900000000002
AV16ME,6,158.32432999999997
AV16ME,7,61.14130999999999
AV16ME,8,60.311980000000005
AV16ME,9,10.605799999999988
AV16ME,10,20.45243
AV16ME,11,41.87419
AV16ME,12,32.512
AV16ME,13,146.5953
AV16ME,14,20.085499999999996
AV16ME,15,70.8281
AV16ME,16,26.178799999999967
AV16ME,17,29.102899999999977
AV16ME,18,90.38750000000002
AV16ME,19,49.49200000000002
AV16ME,20,75.4239
AV16ME,21,49.073499999999996
AV16ME,22,44.158280000000005
BE10AH,3,3.38130000000001
BE10AH,4,0.5738999999999805
BE10AH,5,4.25569999999999
BE10AH,6,17.30850000000001
BE10AH,7,5.5762000000000285
BE10AH,8,14.275869999999998
BE10AH,9,16.7757
BE10AH,10,43.62820000000002
BE10AH,11,7.941939999999999
BE10AH,12,8.387990000000002
BE10AH,13,1.2793000000000347
BE10AH,14,43.997149999999976
BE10AH,15,55.90247
BE10AH,16,0.7787999999999897
BE10AH,17,30.295299999999997
BE10AH,18,92.30845
BE10AH,19,13.412000000000006
BE10AH,20,12.81450000000001
BE10AH,21,13.376599999999996
BE10AH,22,5.76230000000001
BI05IL,3,7.476499999999987
BI05IL,4,28.635500000000008
BI05IL,5,0.06869999999997844
BI05IL,6,83.62920000000003
BI05IL,7,22.228100000000012
BI05IL,8,1.8260999999999967
BI05IL,9,2.337999999999994
BI05IL,10,20.897199999999998
BI05IL,11,14.078800000000001
BI05IL,12,54.97593
BI05IL,13,7.274299999999997
BI05IL,14,40.65469999999999
BI05IL,15,14.70580000000001
BI05IL,16,1.1119699999999995
BI05IL,17,4.9419499999999985
BI05IL,18,29.023949999999957
BI05IL,19,4.50855
BI05IL,20,11.512399999999985
BI05IL,21,4.352409999999999
BI05IL,22,13.341719999999995
BR17CH,3,98.12389999999999
BR17CH,4,4.852339999999998
BR17CH,5,9.676049999999996
BR17CH,6,18.337999999999994
BR17CH,7,26.247038999999972
BR17CH,8,39.57079999999996
BR17CH,9,37.16188
BR17CH,10,45.84140999999998
BR17CH,11,116.01872
BR17CH,12,16.46459999999999
BR17CH,13,3.271899999999988
BR17CH,14,37.223929999999996
BR17CH,15,103.37427
BR17CH,16,62.82340000000002
BR17CH,17,29.2954
BR17CH,18,9.72120000000001
BR17CH,19,11.958009999999998
BR17CH,20,77.7124
BR17CH,21,0.755800000000022
BR17CH,22,60.60834999999997
br19br,3,85.06198
br19br,4,9.476399999999984
br19br,5,74.67920000000004
br19br,6,97.1257
br19br,7,6.538000000000011
br19br,8,132.858
br19br,9,100.4454
br19br,10,57.79761000000002
br19br,11,176.07393000000002
br19br,12,104.08556
br19br,13,58.47810000000001
br19br,14,92.32389999999998
br19br,15,79.39711
br19br,16,128.7686
br19br,17,10.67610000000002
br19br,18,7.655799999999999
br19br,19,41.47140000000002
br19br,20,60.39140999999999
br19br,21,95.5125
br19br,22,80.45835
br19fr,3,11.27340000000001
